"Id","Business Name","Number of Employees","Contact Person","Corporate Email","Generic Email","Website","Phone","Phone Type","Street Address","Zip Code","State","City"
"23","Loup Logistitics","N/A","Mr. Josh Perkes (CEO) , Ms. Edna Friend (Manager)","","","https://www.louplogistics.com/","(866) 207-3360","","1400 Douglas St Stop 0430","68179-1001","NE","Omaha"
"25","EFastAndGo Logistics","N/A","","","","","(402) 302-1874","fixed line","10271 S 134th St (Invalid address)","68138","NE","Omaha"
"26","The Scoular Company","N/A","Ms. Kim Daniels (Executive Assistant to President) , Mr. David Faith (President)","","","http://www.scoular.com","(402) 342-3500","fixed line","2027 Dodge St","68102-1234","NE","Omaha"
"1","Chemtrade Logistics (US) Inc.","N/A","","","","http://www.chemtradelogistics.com","(416) 496-5856","","2545 W 3rd St","44113","OH","Cleveland"
"2","Steel Valley Express Logistics","N/A","Zach Asher","","","https://steelvalleylogistics.com/","(330) 516-1624","fixed line","850 Euclid Ave Ste 819","44114","OH","Cleveland"
"3","North Coast Logistics Inc.","N/A","","","","http://www.northcoastlogistics.com","(216) 362-7159","fixed line","2323 Lakeside Ave E","44114","OH","Cleveland"
"4","U-Pack","N/A","Ms. Nicki Key (Operations Manager)","","","http://www.upack.com","(877) 453-7274","","3801 Old Greenwood Rd","72903-5937","AR","Fort Smith"
"5","Ryder System, Inc.","N/A","Ms. Olga Alvarez (Paralegal) , Heather Steinberg (Marketing and Communications Manager)","","","http://www.ryder.com","(305) 500-3683","fixed line","11690 NW 105th St","33178-1103","FL","Medley"
"6","Trax Freight LLC","N/A","Renny Kosztala","","","http://traxfreight.com","(800) 931-1719","","850 Euclid Ave Ste 819","44114-3315","OH","Cleveland"
"7","Global Auto Sales   Logistics","N/A","Mr. Emad Silmi (Co-Owner) , Mr. Abdulkarim Silmi (Co-Owner)","","","","(216) 938-9598","fixed line","3478 W 105th St","44111-3732","OH","Cleveland"
"8","Dowd Delivers Moving and Carrier Service","N/A","Mr. James Dowd (Owner)","","","","(216) 255-8281","mobile","1617 Granby Ave","44109-3413","OH","Cleveland"
"9","Complete Personnel Logistics, Inc.","N/A","Mr. Jay Lucarelli (President) , Mr. Brad Hajek (Sales Representative)","","","https://www.cplhr.com/","(800) 541-8154","","3740 Carnegie Ave","44115-2755","OH","Cleveland"
"10","Unique Logistics   Freight LLC","N/A","Ms. Unique Lanier (Fleet Owner)","","","http://www.uniquelogisticsandfreight.com","(855) 464-4440","","1536 Saint Clair Ave NE # S19","44114-2004","OH","Cleveland"
"11","JIT Services LLC","N/A","Brian Hall (CEO)","","","http://jitserv.com","(216) 881-5643","fixed line","3740 Euclid Avenue Suite100","44115","OH","Cleveland"
"13","ILF Transportation, LLC","N/A","Ms. Deandra Smith (Communications Director)","","INFO@ILFtransportation.com","http://www.ilftransportation.com","(216) 417-0215","fixed line","16113 Saint Clair Ave","44110","OH","Cleveland"
"14","LaserShip, Inc","N/A","Mr. Didier Milongo (Manager of Operations) , Mr. Manu Aggarwal (Director of Marketing) , Mr. Brett Bissell (CEO) , Mr. Joshua Heywood (Supervisor) , Mr. Kevin Gresham (Company Contact)","","","http://www.lasership.com","(703) 761-9030","fixed line","8401 Greensboro Dr Ste 700","22102-3598","VA","McLean"
"15","UnitedHealth Group","N/A","Stephen Hemsley (President   CEO) , Consumer Affairs (Owner / Manager) , Jean Manowski (Manager) , Kevin Klopfenstein (CEO) , Jay Anliker (President) , Deltha Nelson (Legal Services Specialist) , Michelle Johnson (Manager) , Michael Stone (Director, Operations) , Michael Blaszyk (Owner)","","","https://www.uhc.com/","(800) 842-2656","","9900 Bren Rd E Mn008-T-615 Consumer Affairs","55343-4402","MN","Minnetonka"
"16","ADC Warehouse","N/A","Mr. Adam Csongedi (Owner)","","","http://www.adcwarehouse.com","(216) 938-9380","fixed line","6880 Lake Abrams Dr","44130-3455","OH","Middleburg Heights"
"17","Bonnie Speed Delivery Inc.","N/A","Mr. Kenneth Hardy (Owner/Chairman) , Mr. David Hardy (President and COO)","","","http://www.bonniespeed.com/","(216) 696-6033","fixed line","2501 Saint Clair Ave NE","44114-4012","OH","Cleveland"
"18","EMR Logistics LLC","N/A","Sabit Mamedov","","","","(440) 226-3822","fixed line","20575 Center Ridge Rd","44116-3422","OH","Rocky River"
"19","Clockwork Logistics Inc","N/A","","","info@cwlog.com","http://www.cwlog.com","(216) 581-0707","fixed line","4765 E 131st St","44105","OH","Garfield Heights"
"20","Centran Express","N/A","Office Manager","","ops@centranexpress.com","http://www.centranexpress.com","(216) 401-8214","mobile","2500 Brookpark Road","44134","OH","Cleveland"
"21","Davis Pro Cleaning   Moving","N/A","Dashawn Davis (President)","","","http://www.davisprocm.com","(216) 400-7100","fixed line","13110 Shaker Sq Ste 103","44120-2381","OH","Cleveland"
"22","Pilot Air Freight, Inc.","N/A","Mr. John Hill (President/COO)","","","http://www.pilotdelivers.com","(610) 891-8100","fixed line","2 Braxton Way Ste 400","19342-2379","PA","Glen Mills"
"23","Aim Transportation Solutions","N/A","Mr. Thomas Fleming (Chairman/CEO) , Ms. Jessica Deane (Director of Marketing) , Mr. Matt Svancara (Executive Vice President of Sales) , Mr. Scott Fleming (Co-President) , Mr. Geoff Fleming (Co-President)","","","http://www.aimntls.com","(330) 366-1482","voip","1500 Trumbull Ave","44420-3453","OH","Girard"
"1","Freight Logistics","N/A","Mr. David C. Haplea (Owner)","","","","(757) 724-6364","mobile","2725 Christopher Farms Dr","23453-6622","VA","Virginia Beach"
"2","Artemis Global Logistics and Solutions","N/A","Ms. Candice Kennedy (Executive Vice President)","","","","","","2645 International Pkwy Suite 101","23452","VA","Virginia Beach"
"3","Veterans Logistics Group LLC Dba/ VLG Services","N/A","","","","","(757) 797-0002","fixed line","780 Lynnhaven Pkwy STE 400","23452-7332","VA","Virginia Beach"
"4","FAC Logistics","N/A","Mr. Donald L. Wiburn (Principal)","","","","(757) 426-3175","fixed line","985 Maitland Dr","23454-6763","VA","Virginia Beach"
"5","Jordan's Logistics LLC","N/A","Mr. Jonathan Wilson (Principal)","","","","(757) 239-7076","mobile","173 S Kentucky Ave","23452-2383","VA","Virginia Beach"
"6","Positive Results Logistics LLC","N/A","Suawana Taylor (Principal)","","","","(678) 392-8165","mobile","4737 Onondaga Rd","23462-3834","VA","Virginia Beach"
"7","Glynden Blu Logistics LLC","N/A","Ms. Sophie Hawkins (Principal)","","","","(757) 892-4205","mobile","5960 Buckminister Ln","23462-1434","VA","Virginia Beach"
"8","Cruz Logistics LLC","N/A","","","","","(757) 806-0202","mobile","736 Promenade Pl Apt 102","23462-7847","VA","Virginia Beach"
"9","C   J Logistics LLC","N/A","Ms. Courtney Uzzle (Principal)","","","","(757) 614-9464","mobile","4702 Woods Edge Rd","23462-7254","VA","Virginia Beach"
"10","Midway Direct Dispatching LLC","N/A","Ms. Tikia Minter (Principal)","","","","(757) 295-6486","mobile","5530 Seawall Ct","23462-7715","VA","Virginia Beach"
"11","SureeMarie LLC","N/A","Ms. Suree Foose (Owner)","","","","(757) 286-5880","mobile","814 16th St Apt 201","23451-4207","VA","Virginia Beach"
"12","Kalman   Co., Inc.","N/A","Mrs. Barbara Kalman (CEO)","","contact@kalmancoinc.com","http://www.kalmancoinc.com","(757) 461-4292","voip","2901 S Lynnhaven Rd STE 340","23452-8505","VA","Virginia Beach"
"1","Finch Empire Logistics","N/A","Harold Finch (President) , Andrea Finch (Vice President)","","","","(305) 735-3237","voip","66 W Flagler St STE 900","33130-1807","FL","Miami"
"2","IMT Logistics","N/A","Tiago Moreira (Manager)","","","","(305) 728-4778","fixed line","14 NE 1st Ave Suite 904","33132","FL","Miami"
"3","Voi Logistics LLC","N/A","","","fleet@voilogistics.com","https://voilogistics.com","","","1110 Brickell Ave Ste 403","33131-3135","FL","Miami"
"4","Logistics Warehouse Group, Inc.","N/A","","","","","","","2730 SW 3rd Ave","33129-2300","FL","Miami"
"5","Cargo America Logistics","N/A","Ms. Cathline Reed","","","","(305) 517-1670","fixed line","200 SE 1st St","33131-1907","FL","Miami"
"6","Grunoman Global Logistics","N/A","Customer Service Manager","","","","(888) 265-5777","","1200 Brickell Ave. #900","33131","FL","Miami"
"7","Road Land Logistics LTD.","N/A","","","","","(866) 579-0638","","199 East Flagler Street #810","33131","FL","Miami"
"8","Suncoast Logistics","N/A","","","","","(850) 777-3075","fixed line","806 Douglas Rd Suite #200,","33134","FL","Miami"
"9","Luna Auto Transport Logistics","N/A","Ms. Samantha Jaramillo (Owner)","","","","(786) 375-1953","mobile","504 NW 33rd St","33127-3423","FL","Miami"
"10","One World Logistics","N/A","Customer Service Manager","","","","(305) 324-0922","fixed line","1471 NW 21st St","33142-7729","FL","Miami"
"11","Tradex USA Logistics","N/A","Mr. Juan Gaviria (President) , Ms. Melissa Salazar (Manager)","","","http://www.tradexusalogistics.com","(561) 923-8181","voip","P.O. Box 319254","33231","FL","Miami"
"12","Quality Logistics Group","N/A","Customer Service Manager","","","","(305) 599-8469","fixed line","1401 NW 84 Ave","33126","FL","Miami"
"13","ARC Global Logistics","N/A","Mrs. Deborah Santerre","","","","(305) 591-2595","fixed line","1522B NW 82nd Ave.","33126","FL","Miami"
"14","Cargoza Logistics Transports LLC","N/A","Mr. Francisco Napoles (President) , Ms. Judy Diaz (Vice President)","","","","(786) 486-2460","mobile","110 SW 62nd Ct","33144","FL","Miami"
"15","Hauling It Logistics LLC","N/A","","","","","(786) 570-0047","mobile","2121 Biscayne Blvd 1161","33137","FL","Miami"
"16","Max Speed Auto Transport Logistics, LLC","N/A","Giovanni . (Dispatch) , Mr. Henry Mazariegos (Manager)","","","http://www.maxspeedautotransport.com","(305) 753-5352","mobile","600 NW 6th St Apt 318","33136-3257","FL","Miami"
"17","Puntomio","N/A","Mr. Albert Hernandez (President) , Ms. Sabi Pfluzker (Customer Service Manager)","","","http://www.puntomio.com","(305) 436-6811","fixed line","7701 NW 15th St","33106-4800","FL","Miami"
"18","Brickell Mail Receiving, Inc.","N/A","Jorge Baez (Manager) , Ms. Lucia Medina (President/Director) , Mr. Fernando Medina (Secretary)","","","","(305) 371-4604","voip","444 Brickell Ave # 52","33131-2403","FL","Miami"
"19","Reddy To Go LLC","N/A","Mr. Carlos Ramirez (Manager)","","","https://www.reddytogo.net","(786) 487-2668","mobile","1376 NW 22nd Ave","33125-2524","FL","Miami"
"20","AutoStar Transport Express, LLC","N/A","Mr. Mark Dugger (Operations Manager) , Mr. Michael Kuykendall (Manager) , Mr. Adam Markiewicz (Owner)","","info@autostartransport.com","http://www.autostartransport.com","(888) 802-8250","","80 SW 8th St STE 2000","33130-3038","FL","Miami"
"21","Silver Express Logistics, LLC","N/A","Mr. Robert Martin (Owner) , Mr. Borja Martin (Managing Member) , Mr. Borja Polo","","","http://www.silverexpresslogistics.com","(888) 790-5788","","600 NE 36th Street #T6","33137","FL","Miami"
"22","Coronado Express","N/A","Mr. Sammy Coronado (Manager) , Mrs. Osmary Coronado (Manager)","","","http://www.coronadoexpress.com","(786) 318-4201","mobile","8020 NW 60th St Bldg B","33195-3413","FL","Miami"
"23","Voltswitch GPS","N/A","Mr. Loranz Emachah (Chief Executive Director)","","support@voltswitchgps.com","https://www.voltswitchgps.com","(305) 833-2356","mobile","68 SE 6th St Apt 4109","33131-3519","FL","Miami"
"24","Pick N' Send, Inc.","N/A","Mr. Robert Grullon (Manager) , Mr. Rodolfo Perez (President) , Ms. Ana Perez (Vice President) , Mr. Jose Perez (Treasurer) , Ms. Laura Castellano (Secretary)","","info@picknsend.com","http://picknsend.com","(305) 513-0441","fixed line","8273 NW 56th Street","33195","FL","Miami"
"25","A Tiempo Cargo Inc.","N/A","Mr. Alejandro Valencia (President) , Mr. John Valencia (Vice President)","","infomiami@telotraigo.com","http://www.atiempocargo.com","(786) 502-1636","mobile","5530 NW 72nd Ave","33195-4214","FL","Miami"
"26","D Y Lines Inc.","N/A","Yenisey Alfonso (Secretary)","","","","","","770 Claughton Island Dr Apt 1605","33131-2631","FL","Miami"
"27","E-Shopping Logistics   Trading, Inc.","N/A","Customer Service Manager , Mrs. Cladia Ogando (President/Owner)","","eshooppinlog@gmail.com","http://www.eshoppinglog.webs.com","(305) 490-6208","mobile","551 NW 82nd Ave., Ste. 526.","33126","FL","Miami"
"28","Alliance Express Mail","N/A","Customer Service Manager","","","","(315) 303-8172","fixed line","3275 NW 24th Street Rd","33142-6913","FL","Miami"
"29","Up Up Worldwide LLC","N/A","Junette Francis (CEO)","","Contact@upupworldwide.com","http://upupworldwide.com/","(305) 677-3444","fixed line","1000 Brickell ave, Suite 715","33131","FL","Miami"
"30","Forceget Logistics LLC","N/A","BURAK YOLGA (Manager)","","","https://forceget.com/","(305) 942-7597","mobile","1504 Bay Road Unit 1014","33139","FL","Miami Beach"
"31","Therlium LLC","N/A","Mrs. Marica Cedeno Mohamed (President)","","","","(305) 721-2938","fixed line","777 Brickell Ave Fl 5","33131-2809","FL","Miami"
"32","Vanessa Cargo and Logistic,Inc","N/A","Ms. Blanca Salinas (Manager) , Vanessa Y Somarriba (Manager)","","","","(305) 978-8793","mobile","7498 NW 8 Street C","33126","FL","Miami"
"33","DNA Supply Chain Solutions, Inc.","N/A","Mr. David Rosendorf (President)","","info@dnasupplychain.com","http://www.dnasupplychain.com","(305) 716-1119","fixed line","4465 NW 37th Ct","33142-4231","FL","Miami"
"34","Pocar's Sales   Rental","N/A","Mr. Simon Pinto (Managing Member) , Mr. Jose Corzo (Managing Member) , Ms. Alicia Carvalho (Managing Member) , Ms. Hilda Alcala (Managing Member)","","","http://www.pocars.net","(305) 713-7209","mobile","4041 NW 25th St # B","33142-6723","FL","Miami"
"35","Sinerlog USA LLC","N/A","Igor De Mesquita Pipolo (Manager)","","","https://sinerlog.global/","(866) 245-2708","","201 S Biscayne Blvd STE 1200","33131-4316","FL","Miami"
"36","Spectrum Florida Inc","N/A","Mr. Emanuel Fields (President)","","operations@spectrumfloridasecurity.com","https://www.spectrumfloridasecurity.com","(305) 748-5645","mobile","2125 Biscayne Blvd","33137-5031","FL","Miami"
"37","Merchandise World LLC","N/A","Customer Service (Manager)","","","http://www.merchandw.com/","(305) 515-8221","fixed line","6303 Blue Lagoon Dr","33126","FL","Miami"
"38","Bimini Shipping LLC","N/A","Mr. R. Harvey Sasso (Manager)","","","http://www.biminishipping.com","(305) 634-8858","fixed line","3301 NW South River Dr","33142-6953","FL","Miami"
"39","IAG Travel Management ,LLC.","N/A","Ms. Marta Iglesias (Owner)","","","http://www.iagtravel.com","(305) 532-6999","fixed line","828 3rd Street Suite #207","33139-7011","FL","Miami Beach"
"40","Formula Global Mobility LLC","N/A","Mr. Christian Telles (Managing Owner) , Mr. Robson Granero (Owner) , Jacques Monier (General Manager)","","info@FormulaGlobalMobility.com","https://formulaglobalmobility.com","(305) 960-9997","fixed line","4740 NW 15th Ave # 3D","33309-7210","FL","Fort Lauderdale"
"41","Logistic International","N/A","Ms. Lizzette Licona (President)","","clicona@gmail.com, Lmoverspty@logisticfreightgroup.com","http://logisticfreightgroup.com","(305) 883-5665","fixed line","1694 NW 82nd Ave","33126-1048","FL","Doral"
"42","UnitedHealth Group","N/A","Stephen Hemsley (President   CEO) , Consumer Affairs (Owner / Manager) , Jean Manowski (Manager) , Kevin Klopfenstein (CEO) , Jay Anliker (President) , Deltha Nelson (Legal Services Specialist) , Michelle Johnson (Manager) , Michael Stone (Director, Operations) , Michael Blaszyk (Owner)","","","https://www.uhc.com/","(800) 842-2656","","9900 Bren Rd E Mn008-T-615 Consumer Affairs","55343-4402","MN","Minnetonka"
"43","Abco Supply LLC","N/A","Belen Gil (Manager) , Carlos Cobo (Manager) , Adriana Cobo , Orlando Cobo (Manager)","","","","","","8530 NW 72nd Street","33166","FL","Miami"
"44","KLS Logistics Group LLC","N/A","Daniel Domaszewski","","","http://klscargo.com","(786) 693-8110","fixed line","1563 NW 82 Avenue","33126","FL","Doral"
"45","XPO Logistics, Inc.","N/A","Mr. Troy Cooper (President)","","","http://www.xpo.com/","(855) 976-6951","","5 American Ln","06831-2551","CT","Greenwich"
"1","Freight Trans Logistics","N/A","Mr. Customer Service (Manager of Client Services)","","","","(510) 519-4450","fixed line","132 Dr 14th St","94606","CA","Oakland"
"2","Independence Logistics","N/A","","","","","(415) 312-3700","mobile","2845 Alida St","94602-3452","CA","Oakland"
"3","InXpress","N/A","Mr. Albert Mansah (Owner)","","info.usa@inxpress.com","https://us.inxpress.com/locations/san-francisco-bay-area-east/","(510) 479-4735","mobile","1633 Harrison St Apt 607","94612-3374","CA","Oakland"
"4","United Parcel Service","N/A","Customer Relations , Ms. Lani Perez","","","http://www.ups.com","(404) 828-6000","fixed line","55 Glenlake Pkwy NE","30328-3474","GA","Atlanta"
"5","UnitedHealth Group","N/A","Stephen Hemsley (President   CEO) , Consumer Affairs (Owner / Manager) , Jean Manowski (Manager) , Kevin Klopfenstein (CEO) , Jay Anliker (President) , Deltha Nelson (Legal Services Specialist) , Michelle Johnson (Manager) , Michael Stone (Director, Operations) , Michael Blaszyk (Owner)","","","https://www.uhc.com/","(800) 842-2656","","9900 Bren Rd E Mn008-T-615 Consumer Affairs","55343-4402","MN","Minnetonka"
"6","TF Logistics LLC","N/A","Mr. Robert Howard (CEO)","","","","(888) 407-4640","","360 22nd St STE 520","94612-3026","CA","Oakland"
"7","Chipman Relocations","N/A","Mr. Gregg Brenner (General Manager) , Mr. Justin Chipman (President) , Mr. Cliff Moore (General Manager)","","","http://www.chipmanrelo.com","(425) 251-0562","fixed line","8939 S 190th St","98031-1206","WA","Kent"
"1","Hofler Logistics Services","N/A","","","","http://www.thehofler.com","(919) 823-3818","voip","434 Fayetteville St # 5520","27601-1701","NC","Raleigh"
"2","Hofler Logistics Services","N/A","","","","https://nextdroplogistics.com/","(919) 823-3818","voip","434 Fayetteville St # 5520","27601-1701","NC","Raleigh"
"3","Talbi Logistics, LLC","N/A","Ms. Sofiane Talbi (Member Manager)","","","","(919) 592-3464","mobile","7751 Acc Blvd","27617-8631","NC","Raleigh"
"4","Fogg's Landscaping   Logistics","N/A","Mr. Johnny Fogg (Owner)","","","","(919) 798-6457","mobile","701-208 Bright Creek Way","27601","NC","Raleigh"
"5","HBTRANSIT LOGISTICS","N/A","","","","https://www.hbtransit.com/","(855) 452-9492","","4801 Glenwood Ave Ste 200-1079","27612-3856","NC","Raleigh"
"6","Countrywide Freight   Logistics Brokerage Group, LLC","N/A","","","","","(866) 225-6259","","5300 Atlantic Avenue Suite 106-P","27609","NC","Raleigh"
"7","Tryon Solutions, Inc","N/A","Mr. Adam J. Downing (President)","","","http://www.tryonsolutions.com","(919) 439-3100","fixed line","708 Saint Marys St","27605-1425","NC","Raleigh"
"8","Alliance Air Freight   Logistics","N/A","Mr. Billy Bendor (Customer Contact)","","info@shipalliance.com","http://www.shipalliance.com","(919) 324-6585","fixed line","6216 Angus Dr","27617-4749","NC","Raleigh"
"9","Logistic Park Ltd","N/A","","","","","(919) 809-6992","fixed line","4030 Wake Forest Rd","27609-0010","NC","Raleigh"
"10","Whittlemore Logistics Services","N/A","Ms. Amy Robinson (Customer Service Representative)","","","https://www.whittlemore.com/","(984) 208-2856","voip","434 Fayetteville St, #1509","27601","NC","Raleigh"
"11","Freight Runners Logistics, LLC","N/A","Ms. Shenique Walker (Managing Member)","","","","(252) 702-3342","mobile","5300 Atlantic Ave STE 106-05","27609-1122","NC","Raleigh"
"12","Loyalty Lanez Logistics, LLC","N/A","","","elaine@loyaltylanez.com","http://www.loyaltylanez.com/","(984) 664-1170","fixed line","4801 Glenwood Ave Ste 200","27612","NC","Raleigh"
"13","DXS Logistics, LLC","N/A","Mr. Danye Medhin (CEO)","","","https://opencorporates.com/companies/us_nc/1864668","(919) 771-7954","mobile","5305 Antebellum Rd","27606-4062","NC","Raleigh"
"14","Main Road Logistics, LLC","N/A","Mr. Donald G. Pendergrass (Managing Member)","","mainroadlogistics@gmail.com","http://mainroadlogistics.com","(919) 601-7611","mobile","5512 Yates Mill Pond Rd","27606-9688","NC","Raleigh"
"15","Ward Transport   Logistics Corp.","N/A","Ms. Dawn Shuma (Executive Assistant)","","","https://www.wardtlc.com/","(800) 458-3625","","1436 Trucking Drive","16603","PA","Altoona"
"16","A10 Global Logistics, Inc.","N/A","Mr. Bright Winner (CEO) , Ms. Favor Winner","","","","(919) 949-3503","mobile","5404 Hillsborough St # A","27606-1339","NC","Raleigh"
"17","First Class Transportation and Logistics, LLC","N/A","Mr. Emmanuel Paul (Member)","","info@fctal.com","http://www.fctal.com","(919) 961-1733","mobile","3900 Barrett Dr STE 300","27609-7599","NC","Raleigh"
"18","Insurance for All Needs Agency, LLC","N/A","Mr. Lamin Touray (Member)","","info@insurance4allneeds.com","http://www.insurance4allneeds.com","(888) 984-8553","","4920 Windy Hill Dr STE A","27609-5194","NC","Raleigh"
"20","S   E Logistics of Raleigh LLC","N/A","Mr. Beamon Lucas (Owner)","","","https://www.selogisticsofraleigh.com/","(919) 799-5013","fixed line","5540 Centerview Dr Ste 200","27606-3386","NC","Raleigh"
"21","T S Platinum Enterprises, LLC","N/A","Ms. Tonya Hicks (Member Manager) , Ms. Sonya Watson (Member Manager)","","tsplatinument@gmail.com","https://www.tsfreightdispatch.com/","(919) 615-2523","fixed line","5306 Six Forks Rd. Ste.107","27609","NC","Raleigh"
"22","FSAlogistix- Hinton Trucking","N/A","","","","","(919) 832-0910","fixed line","819 E Six Forks Rd","27609-7833","NC","Raleigh"
"23","United Parcel Service","N/A","Customer Relations , Ms. Lani Perez","","","http://www.ups.com","(404) 828-6000","fixed line","55 Glenlake Pkwy NE","30328-3474","GA","Atlanta"
"24","Advanced Logistix LLC","N/A","Mr. Aaron Dorsey (Member) , Mr. Quinton Dorsey (Member)","","","","(919) 527-1483","mobile","6121 Countryview Ln","27606-9255","NC","Raleigh"
"25","Ryder System, Inc.","N/A","Ms. Olga Alvarez (Paralegal) , Heather Steinberg (Marketing and Communications Manager)","","","http://www.ryder.com","(305) 500-3683","fixed line","11690 NW 105th St","33178-1103","FL","Medley"
"26","RCM, INCORPORATED","N/A","Ms. Danieal Wilson (President)","","","http://rcmanage.net/","(984) 464-1185","fixed line","4208 Six Forks Rd STE 1000","27609-5738","NC","Raleigh"
"27","Graybar Electric Co Inc.","N/A","Mrs. Kathy Mazzarella (Chairperson/CEO) , Ms. Rose McDaniel (Vice President of Operations)","","","http://www.graybar.com","(314) 573-9200","fixed line","34 N Meramec Ave","63105-3941","MO","Saint Louis"
"1","Proactive Logistical Solutions LLC","N/A","Kathy Krosse (Vice President) , Jeffrey Morgan (Owner)","","","","(573) 434-4941","mobile","2125 E. Skelly Drive, #133","74105","OK","Tulsa"
"2","GHE Logistics","N/A","Randy Neel (Owner)","","","","(918) 551-6048","fixed line","7101 E 38th St Unit 7170","74145-3235","OK","Tulsa"
"3","Premier Logistics","N/A","Mr. Bobby Miller (Owner) , Mr. Jeff Mancini (President)","","info@shippremier.com","http://www.shippremier.com","(855) 220-4746","","4937 S 45th West Ave","74107-7301","OK","Tulsa"
"4","Afs Logistics LLC","N/A","Gina Allison (Manager)","","","https://www.afs.net/","(918) 627-2374","fixed line","8141 E 41st St","74145-3313","OK","Tulsa"
"5","Willis   Associates Logistics, Inc.","N/A","Mr. Rick Willis (Owner)","","","http://www.willislogistics.com","(918) 446-5700","fixed line","5031 S 33rd West Ave STE 220","74107-7409","OK","Tulsa"
"6","Tenstreet, LLC.","N/A","Mr. Tim Crawford (CEO/Owner) , Mrs. Molly Vidler (Administrator)","","","https://www.tenstreet.com/","(918) 845-3475","mobile","120 W 3rd St,","74103","OK","Tulsa"
"7","Diligent Logistics LLC","N/A","","","impallari@gmail.com, operations@diligentlogistics.info","https://diligentlogistics.info/","(731) 358-6377","fixed line","624 S Denver Ave","74119-1039","OK","Tulsa"
"8","Transit Services, Inc.","N/A","Ms. Deborah Johnson (General Manager) , Mr. Tom Clark (Sales Manager)","","","http://transit-services.com","(918) 446-6362","fixed line","4014 S. Maybelle Ave","74107","OK","Tulsa"
"9","United Parcel Service","N/A","Customer Relations , Ms. Lani Perez","","","http://www.ups.com","(404) 828-6000","fixed line","55 Glenlake Pkwy NE","30328-3474","GA","Atlanta"
"10","Shen Te Enterprises","N/A","Bonnie Berney (President) , Kim Goza (Manager of Human Resources)","","kim.goza@shenteenterprises.com","http://shenteenterprises.com","(918) 505-7711","voip","5888 W 55th St","74107-9140","OK","Tulsa"
"1","Total Quality Logistics, LLC","N/A","Mr. Ken Oaks (President) , Mr. Jeff Montelisciani (Vice President) , Mr. Kerry Byrne (Executive Vice President) , Mr. Justin O'Grady (Manager, Carrier Relations)","","","","(513) 831-2600","fixed line","4289 Ivy Pointe Blvd.","45245","OH","Cincinnati"
"2","Stonepath Logistics","N/A","","","","","(952) 697-4800","fixed line","100 S 5th St Ste 1075","55402-1265","MN","Minneapolis"
"3","All American Logistics LLC","N/A","Abdi Harun (Manager)","","","","(612) 401-4306","mobile","1305 E. 22nd St.","55404","MN","Minneapolis"
"4","Taship Logistics","N/A","Owner / Manager (Owner)","","","https://tashiplogistics.com","(612) 405-3006","fixed line","115 NE 27th Ave","55418","MN","Minneapolis"
"5","ABM Logistics LLC","N/A","Owner / Manager (Manager)","","","https://abm-logisticsllc.com","(888) 669-1070","","419 Cedar Ave S #331","55454","MN","Minneapolis"
"6","Stone Arch Logistics","N/A","","","info@stonearchlogistics.com","http://www.stonearchlogistics.com","(952) 767-0844","fixed line","4301 Highway 7 Ste 160","55416-5802","MN","Minneapolis"
"7","Riverside Logistics","N/A","Ken Morency (Manager)","","","http://www.riversideusair.com/","(800) 888-2510","","12510 Fletcher Ln STE I","55374-7602","MN","Rogers"
"8","Total Quality Logistics, LLC","N/A","Mr. Ken Oaks (President) , Mr. Jeff Montelisciani (Vice President) , Mr. Kerry Byrne (Executive Vice President) , Mr. Justin O'Grady (Manager, Carrier Relations)","","","http://www.tql.com","(513) 831-2600","fixed line","4289 Ivy Pointe Blvd.","45245","OH","Cincinnati"
"9","Viking Logistic LLC","N/A","Mohamud Mohamed (Manager)","","","","(612) 886-8882","fixed line","80 Williams Ave. SE","55414","MN","Minneapolis"
"10","C H Robinson Worldwide Inc","N/A","John Wiehoff (CEO) , Mike Wilken (Manager) , Duncan Burns (Manager)","","","http://www.chrobinson.com","(952) 937-8500","fixed line","14701 Charlson Rd Ste 1400","55347-5088","MN","Eden Prairie"
"11","Rayan Logistics Llc","N/A","","","","","(952) 769-4222","mobile","2930 13th Ave S Apt 103","55407","MN","Minneapolis"
"12","United Parcel Service","N/A","Customer Relations , Ms. Lani Perez","","","http://www.ups.com","(404) 828-6000","fixed line","55 Glenlake Pkwy NE","30328-3474","GA","Atlanta"
"13","Stan Koch   Sons Trucking, Inc","N/A","Dave Koch (Owner/Manager)","","safety@kochcompanies.com","http://www.kochcompanies.com","(763) 302-5400","fixed line","4200 Dahlberg Dr STE 100","55422-4802","MN","Minneapolis"
"14","UnitedHealth Group","N/A","Stephen Hemsley (President   CEO) , Consumer Affairs (Owner / Manager) , Jean Manowski (Manager) , Kevin Klopfenstein (CEO) , Jay Anliker (President) , Deltha Nelson (Legal Services Specialist) , Michelle Johnson (Manager) , Michael Stone (Director, Operations) , Michael Blaszyk (Owner)","","","https://www.uhc.com/","(800) 842-2656","","9900 Bren Rd E Mn008-T-615 Consumer Affairs","55343-4402","MN","Minnetonka"
"15","Graybar Electric Co Inc.","N/A","Mrs. Kathy Mazzarella (Chairperson/CEO) , Ms. Rose McDaniel (Vice President of Operations)","","","http://www.graybar.com","(314) 573-9200","fixed line","34 N Meramec Ave","63105-3941","MO","Saint Louis"
